title,year,genre,rate,budget,revenue
The Big Short,2015-12-11,Comedy|Drama,7.3,28000000,133346506
Tombstone,1993-12-25,Action|Western,7.6,25000000,56500000
Mr Bates vs The Post Office: The Real Story,2024-01-01,Documentary,8.5,0,0
Elvis,2022-06-22,Drama|Music,7.5,85000000,288670284
Jeanne du Barry,2023-05-16,Drama|History|Romance,7.0,22400000,13000000
The Greatest Showman,2017-12-20,Drama,7.898,84000000,432800000
NYAD,2023-10-18,Drama|History,7.1,0,0
The Gentlemen,2020-01-01,Action|Comedy|Crime,7.7,22000000,115171795
Poor Things,2023-12-07,Comedy|Romance|Science Fiction,7.816,35000000,114912799
Wish,2023-11-13,Adventure|Animation|Family|Fantasy,6.53,175000000,251720820
Resident Alien,1990-09-14,Documentary,5.3,0,0
Larry David: Curb Your Enthusiasm,1999-10-17,Comedy|TV Movie,7.5,0,0
Unfrosted,2024-05-02,Comedy|History,0.0,0,0
Crew,2024-03-29,Comedy|Drama,6.2,0,0
Anyone But You,2023-12-21,Comedy|Romance,7.074,25000000,214891370
Kung Fu Panda 4,2024-03-02,Action|Animation|Comedy|Family|Fantasy,7.109,85000000,410255055
Monk,2017-04-06,Comedy|Drama,5.5,0,0
Wonka,2023-12-06,Comedy|Family|Fantasy,7.2,125000000,632302312
Ricky Stanicky,2024-02-21,Comedy,6.5,0,0
Gen V - Prime Premiere,2023-09-27,Action|Adventure|Comedy|Drama|Science Fiction,7.9,0,0
Shameless,2019-04-01,Drama|Thriller,10.0,0,0
Avatar The Last Airbender: Echoes and Aftershocks,2025-10-10,Action|Adventure|Animation|Fantasy,0.0,0,0
The Boys,1998-05-07,Drama,6.3,0,0
Barbie,2023-07-19,Adventure|Comedy,7.1,145000000,1445638421
Ghostbusters: Afterlife,2021-11-11,Adventure|Comedy|Fantasy,7.4,75000000,191000000
The Bear,1998-12-25,Animation|Comedy|Drama|Family|Fantasy,5.1,0,0
Suits,1999-01-10,Comedy,0.0,0,0
The Office,2020-10-26,Animation|Comedy|Horror,0.0,0,0
Clan of the White Lotus,1980-01-01,Action,6.5,0,0
Beetlejuice,1988-03-30,Comedy|Fantasy,7.381,15000000,74800000
Jesse Stone: Death in Paradise,2006-04-30,Crime|Mystery|TV Movie|Thriller,6.9,0,0
Goodbye Brooklyn Nine-Nine,2022-06-08,Documentary|TV Movie,7.3,0,0
The Gentlemen,2020-01-01,Action|Comedy|Crime,7.7,22000000,115171795
The Talented Mr. Ripley,1999-12-25,Crime|Drama|Thriller,7.2,40000000,128798265
The Rookie,1990-12-07,Action|Crime|Drama|Thriller,5.9,10000000,21600000
True Darkness: DETECTIVES,2022-02-22,Drama|Horror|Mystery,0.0,500,500
The Gentlemen,2020-01-01,Action|Comedy|Crime,7.7,22000000,115171795
Sugar,2022-11-18,Crime|Drama,4.9,0,0
The Tokyo Project,1988-06-25,Animation|Thriller,6.0,0,0
Anatomy of a Fall,2023-08-23,Crime|Mystery|Thriller,7.6,6200000,32579042
El Camino: A Breaking Bad Movie,2019-10-11,Crime|Drama|Thriller,7.0,0,0
Undryable Daughter-in-Law,2020-09-10,Drama,3.5,0,0
Love Lies Bleeding,2024-03-08,Crime|Romance|Thriller,7.5,0,8000000
The Real Sopranos,2006-04-26,Documentary,1.0,0,0
Criminal Minds,1998-10-20,Action|Thriller,8.8,0,0
The Boys,1998-05-07,Drama,6.3,0,0
Fargo,1996-03-08,Crime|Drama|Thriller,7.9,7000000,60611975
Joker: Folie à Deux,2024-10-02,Crime|Drama|Thriller,0.0,200000000,0
Parish,2018-12-06,,0.0,0,0
Peaky Blinders: The True Story,2016-04-02,Documentary,8.5,0,0
Tracker,2010-05-20,Action|Adventure|Drama|Thriller,6.492,6500000,0
Dexter's Laboratory: Ego Trip,1999-12-17,Animation|Comedy|Family|Science Fiction|TV Movie,7.5,0,0
The Little Things,2021-01-28,Crime|Drama|Thriller,6.3,30000000,29942746
Jesse Stone: Death in Paradise,2006-04-30,Crime|Mystery|TV Movie|Thriller,6.9,0,0
Goodbye Brooklyn Nine-Nine,2022-06-08,Documentary|TV Movie,7.3,0,0
Cradle Will Rock,1999-12-10,Drama,6.4,36000000,2900000
Passenger,2019-09-01,Animation|Documentary,0.0,0,0
Reacher - Prime Premiere,2023-12-13,Action|Crime|Drama,8.4,0,0
The Accountant,2016-10-13,Crime|Drama|Thriller,7.1,44000000,155160045
Sherlock Holmes,2009-12-23,Action|Adventure|Crime|Mystery,7.2,90000000,524028679
Bones,2001-10-24,Horror|Thriller,4.7,10000000,7316658
Midsomer Murders: 25 Years of Mayhem,2022-05-29,Documentary,6.0,0,0
Traces,2021-01-01,Drama,10.0,0,0
Shogun,1981-06-17,Adventure|Drama|History,6.3,0,0
Dune: Part Two,2024-02-27,Adventure|Science Fiction,8.311,190000000,666813734
The Talented Mr. Ripley,1999-12-25,Crime|Drama|Thriller,7.2,40000000,128798265
Invincible,2006-08-25,Drama|History,7.0,30000000,57800000
Poor Things,2023-12-07,Comedy|Romance|Science Fiction,7.816,35000000,114912799
Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,2017-12-12,Animation|Fantasy|TV Movie|War,7.7,0,0
Oppenheimer,2023-07-19,Drama|History,8.112,100000000,952000000
Dune,2021-09-15,Adventure|Science Fiction,7.789,165000000,433758183
Resident Alien,1990-09-14,Documentary,5.3,0,0
Fallout,1998-01-01,Action|Science Fiction,4.5,0,0
The Rookie,1990-12-07,Action|Crime|Drama|Thriller,5.9,10000000,21600000
True Darkness: DETECTIVES,2022-02-22,Drama|Horror|Mystery,0.0,500,500
The Ten Commandments,1956-10-05,Drama|History,7.8,13000000,122700000
The Walking Dead,1995-02-24,Drama|War,6.3,0,6014541
Yellowstone,1936-09-01,Crime|Drama,5.2,0,0
Crew,2024-03-29,Comedy|Drama,6.2,0,0
Sugar,2022-11-18,Crime|Drama,4.9,0,0
9 + 1,2008-08-02,Horror|Thriller,0.0,0,0
Wish,2023-11-13,Adventure|Animation|Family|Fantasy,6.53,175000000,251720820
The Ten Commandments,1956-10-05,Drama|History,7.8,13000000,122700000
Kung Fu Panda 4,2024-03-02,Action|Animation|Comedy|Family|Fantasy,7.109,85000000,410255055
Wonka,2023-12-06,Comedy|Family|Fantasy,7.2,125000000,632302312
Avatar The Last Airbender: Echoes and Aftershocks,2025-10-10,Action|Adventure|Animation|Fantasy,0.0,0,0
"Ronia, the Robber's Daughter",1984-12-14,Adventure|Drama|Family|Fantasy,6.9,0,0
Descendants: The Rise of Red,2024-07-12,Adventure|Comedy|Family|Fantasy,0.0,0,0
Harry Potter and the Philosopher's Stone,2001-11-16,Adventure|Fantasy,7.913,125000000,976475550
X-Men: Apocalypse,2016-05-18,Action|Adventure|Fantasy|Science Fiction,6.5,178000000,543934787
Trolls Band Together,2023-10-12,Animation|Comedy|Family|Fantasy|Music,7.3,95000000,207318137
Willy Wonka & the Chocolate Factory,1971-06-29,Comedy|Family|Fantasy,7.5,3000000,4000000
IF,2024-05-15,Animation|Comedy|Drama|Family|Fantasy,0.0,0,0
Migration,2023-12-06,Action|Adventure|Animation|Comedy|Family,7.5,72000000,292496973
Little House on the Prairie,1974-03-30,Drama|Family|Western,8.3,0,0
Malcolm in the Middle 2020 Zoom Reunion,2020-07-09,Comedy|Documentary,0.0,0,0
Kung Fu Panda 4,2024-03-02,Action|Animation|Comedy|Family|Fantasy,7.102,85000000,410255055
Inside Out 2,2024-06-12,Adventure|Animation|Drama|Family|Fantasy,0.0,0,0
Hop,2011-03-30,Animation|Comedy|Family,5.8,63000000,183953723
The Boy and the Heron,2023-07-14,Adventure|Animation|Fantasy,7.4,50000000,165208613
A Hero's Journey: The Making of Percy Jackson and the Olympians,2024-01-30,Documentary,6.3,0,0
The Goonies,1985-06-07,Adventure|Comedy|Family,7.516,19000000,61389680
He's All That,2021-08-27,Comedy|Romance,6.6,0,0
The Super Mario Bros. Movie,2023-04-05,Adventure|Animation|Comedy|Family|Fantasy,7.7,100000000,1362000000
Bluey,2015-06-01,Drama,9.0,0,0
The Spiderwick Chronicles,2008-02-14,Adventure|Drama|Family|Fantasy,6.6,90000000,164200000
The Princess Bride,1987-09-25,Adventure|Comedy|Family|Fantasy|Romance,7.7,16000000,30900000
Charlie and the Chocolate Factory,2005-07-13,Adventure|Comedy|Family|Fantasy,7.052,150000000,475000000
Kung Fu Panda 3,2016-01-23,Action|Adventure|Animation|Comedy|Family,6.9,145000000,521170825
Home Improvement,2013-01-27,Comedy|Drama,0.0,0,0
Harry Potter and the Goblet of Fire,2005-11-16,Adventure|Fantasy,7.814,150000000,895921036
The Thundermans Return,2024-03-07,Action|Comedy|Family|Science Fiction,7.6,0,0
Cars,2006-06-08,Adventure|Animation|Comedy|Family,7.0,120000000,461983149
Heartland,2016-09-24,Drama|Romance,5.7,0,0
Harry Potter and the Deathly Hallows: Part 2,2011-07-12,Adventure|Fantasy,8.099,125000000,1341511219
The Wizard of Oz,1939-08-15,Adventure|Family|Fantasy,7.584,2777000,33754967
The Garfield Movie,2024-05-01,Animation|Comedy|Family,0.0,0,0
Spirited Away,2001-07-20,Animation|Family|Fantasy,8.5,19000000,274925095
Moana,2026-07-10,Adventure|Comedy|Family|Fantasy,0.0,0,0
"Merry Christmas, Drake & Josh",2008-12-05,Comedy|TV Movie,7.4,0,0
Moana 2,2024-11-27,Adventure|Animation|Comedy|Family|Fantasy,0.0,0,0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,Action|Animation|Comedy|Science Fiction,7.3,75000000,180000000
The Lion King,1994-06-24,Animation|Drama|Family,8.257,45000000,763455561
Megamind vs. the Doom Syndicate,2024-03-29,Animation|Comedy|Science Fiction,5.3,0,9
The Dove and the Wolf,2019-08-12,Drama,5.5,0,0
Invincible,2006-08-25,Drama|History,7.0,30000000,57800000
Ghostbusters: Frozen Empire,2024-03-20,Adventure|Comedy|Fantasy,6.594,100000000,138500000
Game of Thrones - Conquest & Rebellion: An Animated History of the Seven Kingdoms,2017-12-12,Animation|Fantasy|TV Movie|War,7.7,0,0
Wish,2023-11-13,Adventure|Animation|Family|Fantasy,6.53,175000000,251720820
Damsel,2024-03-07,Action|Adventure|Fantasy,7.1,60000000,5000
Kung Fu Panda 4,2024-03-02,Action|Animation|Comedy|Family|Fantasy,7.109,85000000,410255055
Wonka,2023-12-06,Comedy|Family|Fantasy,7.2,125000000,632302312
The House of the Red Dragon,1969-10-22,Crime,0.0,0,0
Stranger Things,2013-04-05,Drama,8.6,0,0
Avatar The Last Airbender: Echoes and Aftershocks,2025-10-10,Action|Adventure|Animation|Fantasy,0.0,0,0
Interview with the Vampire,1994-11-11,Drama|Fantasy|Horror,7.386,60000000,223664608
Barbie,2023-07-19,Adventure|Comedy,7.1,145000000,1445638421
Ghostbusters: Afterlife,2021-11-11,Adventure|Comedy|Fantasy,7.4,75000000,191000000
Supernatural,1933-04-21,Horror|Mystery|Thriller,6.0,0,0
Beetlejuice,1988-03-30,Comedy|Fantasy,7.381,15000000,74800000
"Ronia, the Robber's Daughter",1984-12-14,Adventure|Drama|Family|Fantasy,6.9,0,0
Ghostbusters,1984-06-08,Comedy|Fantasy,7.484,30000000,296187079
